SH4,PRODUTO
2821,"Óxidos e hidróxidos de ferro; terras corantes contendo, em peso, 70 % ou mais de ferro combinado, expresso em Fe2O3"
2822,"Óxidos e hidróxidos de cobalto, inclusive os comerciais"
2823,Óxidos de titânio
2824,Óxidos de chumbo; mínio (zarcão) e mínio-laranja (mine-orange)
2825,"Hidrazina e hidroxilamina, e seus sais inorgânicos; outras bases inorgânicas; outros óxidos, hidróxidos e peróxidos, de metais"
2826,"Fluoretos; fluorossilicatos, fluoroaluminatos e outros sais complexos de flúor"
2827,"Cloretos, oxicloretos e hidroxicloretos; brometos e oxibrometos; iodetos e oxiiodetos"
2828,Hipocloritos; hipoclorito de cálcio comercial; cloritos; hipobromitos
2829,Cloratos e percloratos; bromatos e perbromatos; iodatos e periodatos
2830,"Sulfuretos; polissulfuretos, de constituição química definida ou não"
2831,Ditionites e sulfoxilatos
2832,Sulfitos; tiosulfatos
2833,Sulfatos; alúmenes; peroxosulfatos (persulfatos)
2834,Nitritos; nitratos
2835,"Fosfinatos (hipofosfitos), fosfonatos (fosfitos) e fosfatos; polifosfatos, de constituição química definida ou não:"
2836,Carbonatos; peroxocarbonatos (percarbonatos); carbonato de amónio comercial contendo carbamato de amónio
2837,"Cianetos, oxicianetos e cianetos complexos"
2838,"Fulminatos, cianatos e tiocianatos"
2839,Silicatos; silicatos dos metais alcalinos comerciais
2840,Boratos; peroxoboratos (perboratos)
2841,Sais dos ácidos oxometálicos ou peroxometálicos
2842,"Outros sais dos ácidos ou peroxoácidos inorgânicos (incluindo aluminossilicatos de constituição química definida ou não), exceto azidas"
2843,"Metais preciosos no estado coloidal; compostos inorgânicos ou orgânicos de metais preciosos, de constituição química definida ou não; amálgamas de metais preciosos"
2844,"Elementos químicos radioactivos e isótopos radioactivos (incluídos os elementos químicos e isótopos cindíveis ou férteis), e seus compostos; misturas e resíduos contendo esses produtos"
2845,"Isótopos não incluídos na posição 2844; seus compostos inorgânicos ou orgânicos, de constituição química definida ou não"
2846,"Compostos, inorgânicos ou orgânicos, dos metais das terras raras, de ítrio ou de escândio ou das misturas destes metais"
2847,"Peróxido de hidrogênio (água oxigenada), mesmo solidificado com ureia"
2848,"Fosfetos, exceto ferrofósforos, quimicamente definidos ou não"
2849,Carbonetos de constituição química definida ou não
2850,"Hidretos, nitretos, azidas, silicietos e boretos, quimicamente definidos ou não"
2851,Compostos inorgânicos nesoi: liq ar: amálgamas nesoi
2852,"Compostos, inorgânicos ou orgânicos, de mercúrio, de constituição química definida ou não, exceto as amálgamas"
2853,"Outros compostos inorgânicos (incluídas as águas destiladas, de condutibilidade ou de igual grau de pureza); ar líquido (incluído o ar líquido cujos gases raros foram eliminados); ar comprimido; amálgamas, exceto de metais preciosos."
2901,Hidrocarbonetos acíclicos
2902,Hidrocarbonetos cíclicos
2903,Derivados halogenados dos hidrocarbonetos
2904,"Derivados sulfonados, nitrados ou nitrosados dos hidrocarbonetos, mesmo halogenados"
2905,"Álcoois acíclicos e seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2906,"Álcoois cíclicos e seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2907,Fenóis; fenóis-álcoois
2908,"Derivados halogenados, sulfonados, nitrados ou nitrosados dos fenóis ou dos fenóis-álcoois"
2909,"Éteres, éteres-álcoois, éteres-fenóis, éteres-álcoois-fenóis, peróxidos de álcoois, peróxidos de éteres, peróxidos de cetonas (de constituição química definida ou não), e seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2910,"Epóxidos, epoxi-álcoois, epoxi-fenóis e epoxi-éteres, com três átomos no ciclo, e seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2911,"Acetais, semi-acetais, mesmo contendo outras funções oxigenadas, e seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2912,"Aldeídos, mesmo contendo outras funções oxigenadas; polímeros cíclicos dos aldeídos; paraformaldeído"
2913,"Derivados halogenados, sulfonados, nitrados ou nitrosados dos produtos da posição 2912"
2914,"Cetonas e quinonas, mesmo contendo outras funções oxigenadas, e seus derivados halogenados, sulfonados, nitratos ou nitrosados"
2915,"Ácidos monocarboxílicos acíclicos saturados e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2916,"Ácidos monocarboxílicos acíclicos não saturados e ácidos monocarboxílicos cíclicos, seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2917,"Ácidos policarboxílicos, seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2918,"Ácidos carboxílicos contendo funções oxigenadas suplementares e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2919,"Ésteres fosfóricos e seus sais, incluindo os lactofosfatos; seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2920,"Ésteres de outros ácidos inorgânicos de não-metais (exceto os ésteres de halogenetos de hidrogénio) e seus sais; seus derivados halogenados, sulfonados, nitrados ou nitrosados"
2921,Compostos de função amina
2922,Compostos aminados de funções oxigenadas
2923,"Sais e hidróxidos de amónio quaternários; lecitinas e outros fosfoaminolípidos, de constitução química definida ou não"
2924,Compostos de função carboxiamida; compostos de função amida do ácido carbónico
2925,Compostos de função carboxiimida (incluindo a sacarina e seus sais) ou de função imina
2926,Compostos de função nitrilo
2927,"Compostos diazóicos, azóicos e azóxicos"
2928,Derivados orgânicos da hidrazina e hidroxilamina
2929,Compostos de outras funções azotadas (nitrogenadas)
2930,Tiocompostos orgânicos
2931,Outros compostos organo-inorgânicos
2932,Compostos heterocíclicos exclusivamente de hetero-átomo(s) de oxigénio
2933,"Compostos heterocíclicos, exclusivamente de hetero-átomo(s) de azoto (nitrogénio)"
2934,"Ácidos nucleicos e seus sais, de constituição química definida ou não; outros compostos heterocíclicos"
2935,Sulfonamidas
2936,"Provitaminas e vitaminas, naturais ou sintéticas (incluídos os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções"
2937,"Hormonas, prostaglandinas, tromboxanos e leucotrienos, naturais ou reproduzidos por síntese; seus derivados e análogos estruturais, incluindo os polipéptidos de cadeia modificada, utilizados principalmente como hormonas"
2938,"Heterósidos, naturais ou sintéticos, seus sais, éteres, ésteres e outros derivados"
2939,"Alcalóides vegetais, naturais ou sintéticos, seus sais, éteres, ésteres e outros derivados"
2940,"Açúcares quimicamente puros, exceto sacarose, lactose, maltose, glicose e frutose; seus éteres e ésteres e seus sais"
2941,Antibióticos
2942,Outros compostos orgânicos
3001,"Glândulas e outros órgãos para usos opoterápicos, dessecados, mesmo em pó; extractos de glândulas ou de outros órgãos ou das suas secreções, para usos opoterápicos; heparina e seus sais; outras substâncias humanas ou animais preparadas para fins terapêuti"
3002,"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e"
3003,"Medicamentos (exceto os produtos das posições 3002, 3005 ou 3006) constituídos por produtos misturados entre si, preparados para fins terapêuticos ou profilácticos, mas não apresentados em doses nem acondicionados para venda a retalho"
3004,"Medicamentos (exceto os produtos das posições 3002, 3005 ou 3006) constituídos por produtos misturados ou não misturados, preparados para fins terapêuticos ou profilácticos, apresentados em doses (incluindo os destinados a serem administrados por via sub"
3005,"Pastas (ouates), gazes, ataduras e artigos análogos (por exemplo: pensos, esparadrapos, sinapismos), impregnados ou recobertos de substâncias farmacêuticas ou acondicionados para venda a retalho para usos medicinais, cirúrgicos, dentários ou veterinários"
3006,Preparações e artigos farmacêuticos indicados na Nota 4 do presente capítulo
3101,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente; adubos (fertilizantes) resultantes da mistura ou do tratamento químico de produtos de origem animal ou vegetal"
3102,"Adubos (fertilizantes) minerais ou químicos, azotados"
3103,"Adubos (fertilizantes) minerais ou químicos, fosfatados"
3104,"Adubos (fertilizantes) minerais ou químicos, potássicos"
3105,"Adubos (fertilizantes) minerais ou químicos, contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio; outros adubos (fertilizantes); produtos do presente capítulo apresentados em tabletes ou formas semelhantes, "
3201,"Extractos tanantes de origem vegetal; taninos e seus sais, éteres, ésteres e outros derivados"
3202,"Produtos tanantes orgânicos sintéticos; produtos tanantes inorgânicos; preparações tanantes, mesmo contendo produtos tanantes naturais; preparações enzimáticas para a pré-curtimenta"
3203,Matérias corantes de origem vegetal ou animal e preparações à base dessas matérias
3204,"Matérias corantes orgânicas sintéticas, mesmo de constituição química definida; preparações indicadas na Nota 3 do presente capítulo, à base de matérias corantes orgânicas sintéticas; produtos orgânicos sintéticos dos tipos utilizados como agentes de aviv"
3205,Lacas corantes e suas preparações
3206,"Outras matérias corantes; preparações indicadas na Nota 3 do presente capítulo, exceto das posições 3203, 3204 ou 3205; produtos inorgânicos dos tipos utilizados como luminóforos, mesmo de constituição química definida"
3207,"Pigmentos, opacificantes e cores preparados, composições vitrificáveis, engobos, esmaltes metálicos líquidos e preparações semelhantes, dos tipos utilizados nas indústrias da cerâmica, do esmalte e do vidro; fritas de vidro e outros vidros, em pó, em grân"
3208,"Tintas e vernizes, à base de polímeros sintéticos ou de polímeros naturais modificados, dispersos ou dissolvidos em meio não aquoso; soluções definidas na Nota 4 do presente capítulo"
3209,"Tintas e vernizes, à base de polímeros sintéticos ou de polímeros naturais modificados, dispersos ou dissolvidos num meio aquoso"
3210,"Outras tintas e vernizes; pigmentos a água preparados, utilizados para acabamento de couros"
3211,Secantes preparados
3212,"Pigmentos (incluídos os pós e flocos metálicos) dispersos em meios não aquosos, no estado líquido ou pastoso, dos tipos utilizados na fabricação de tintas; folhas para marcar a ferro; tinturas e outras matérias corantes apresentadas em formas próprias ou "
3213,"Cores para pintura artística, actividades educativas, pintura de tabuletas, modificação de tonalidades, recreação e cores semelhantes, em pastilhas, tubos, potes, frascos, godés ou acondicionamentos semelhantes"
3214,"Mástique de vidraceiro, cimentos de resina e outros mástiques; indutos utilizados em pintura; indutos não refractários do tipo dos utilizados em alvenaria"
3215,"Tintas de impressão, tintas de escrever ou de desenhar e outras tintas, mesmo concentradas ou no estado sólido"
3301,"Óleos essenciais (desterpenizados ou não), incluídos os chamados « concretos » ou « absolutos »; resinóides; oleorresinas de extracção; soluções concentradas de óleos essenciais em gorduras, em óleos fixos, em ceras ou em matérias análogas, obtidas por tr"
3302,"Misturas de substâncias odoríferas e misturas (incluídas as soluções alcoólicas) à base de uma ou mais destas substâncias, dos tipos utilizados como matérias básicas para a indústria; outras preparações à base de substâncias odoríferas, dos tipos utilizad"
3303,Perfumes (extratos) e águas-de-colônia
3304,"Produtos de beleza ou de maquilhagem preparados e preparações para conservação ou cuidados da pele (exceto medicamentos), incluídas as preparações anti-solares e os bronzeadores; preparações para manicuros e pedicuros"
3305,Preparações capilares
3306,"Preparações para higiene bucal ou dentária, incluídos os pós e cremes para facilitar a aderência das dentaduras; fios utilizados para limpar os espaços interdentais (fio dental), em embalagens para venda a retalho"
3307,"Preparações para barbear (antes, durante ou após), desodorizantes corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos em outras posi"
3401,"Sabões; produtos e preparações orgânicos tensoactivos utilizados como sabão, em barras, pães, pedaços ou figuras moldadas, mesmo contendo sabão; produtos e preparações orgânicos tensoactivos para lavagem da pele, sob a forma de líquido ou de creme, acondi"
3402,"Agentes orgânicos de superfície (exceto sabões); preparações tensoactivas, preparações para lavagem (incluídas as preparações auxiliares de lavagem) e preparações para lavagem, mesmo contendo sabão, exceto as da posição 3401"
3403,"Preparações lubrificantes (incluídos os óleos de corte, as preparações antiaderentes de porcas e parafusos, as preparações antiferrugem ou anticorrosão e as preparações para desmoldagem, à base de lubrificantes) e preparações dos tipos utilizados para lub"
3404,Ceras artificiais e ceras preparadas
3405,"Pomadas e cremes para calçado, encáusticos, preparações para dar brilho a pinturas de carroçarias, vidros ou metais, pastas e pós para arear e preparações semelhantes [mesmo apresentados em papel, pastas (ouates), feltros, falsos tecidos, plástico ou borr"
3406,"Velas, pavios, cirios e artigos semelhantes"
3407,"Pastas para modelar, ceras para dentistas e outras composições para dentistas à base de gesso"
3501,"Caseínas, caseinatos e outros derivados das caseínas; colas de caseína"
3502,"Albuminas (incluídos os concentrados de várias proteínas de soro de leite, contendo, em peso calculado sobre matéria seca, mais de 80 % de proteínas do soro de leite), albuminatos e outros derivados das albuminas"
3503,"Gelatinas e seus derivados; ictiocola e outras colas de origem animal, exceto cola de caseína"
3504,Peptonas e seus derivados; outras matérias protéicas e seus derivados; pó de peles
3505,"Dextrina e outros amidos e féculas modificados (por exemplo: amidos e féculas pré-gelatinizados ou esterificados); colas à base de amidos ou de féculas, de dextrina ou de outros amidos ou féculas modificados"
3506,"Colas e outros adesivos preparados, não especificados nem compreendidos em outras posições; produtos de qualquer espécie utilizados como colas ou adesivos, acondicionados para venda a retalho como colas ou adesivos, com peso líquido não superior a 1 kg"
3507,Enzimas; enzimas preparadas não especificadas nem compreendidas em outras posições
3601,Pólvoras propulsivas
3602,"Explosivos preparados, exceto pólvoras propulsivas"
3603,"Estopins e rastilhos, de segurança; cordéis detonantes; fulminantes e cápsulas fulminantes; escorvas; detonadores elétricos"
3604,"Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia"
3605,"Fósforos, exceto os artigos de pirotecnia"
3606,"Ferrocério e outras ligas pirofóricas, sob quaisquer formas; artigos de matérias inflamáveis indicados na Nota 2 do presente capítulo"
3701,"Chapas e filmes planos, fotográficos, sensibilizados, não impressionados, de matérias diferentes do papel, do cartão ou dos têxteis; filmes fotográficos planos, de revelação e cópia instantâneas, sensibilizados, não impressionados, mesmo em cartuchos"
3702,"Filmes fotográficos sensibilizados, não impressionados, em rolos, de matérias diferentes do papel, do cartão ou dos têxteis; filmes fotográficos de revelação e cópia instantâneas, em rolos, sensibilizados, não impressionados"
3703,"Papéis, cartões e têxteis, fotográficos, sensibilizados, não impressionados"
3704,"Chapas, filmes, papéis, cartões e têxteis, fotográficos, impressionados mas não revelados"
3705,"Chapas e filmes, fotográficos, impressionados e revelados, exceto filmes cinematográficos"
3706,"Filmes cinematográficos impressionados e revelados, contendo ou não gravação de som ou contendo apenas gravação de som"
3707,"Preparações químicas para usos fotográficos, exceto vernizes, colas, adesivos e preparações semelhantes; produtos não misturados, quer doseados tendo em vista usos fotográficos, quer acondicionados para venda a retalho para esses mesmos usos e prontos pa"
3801,"Grafite artificial; grafite coloidal ou semicoloidal; preparações à base de grafite ou de outros carbonos, em pastas, blocos, lamelas ou outros produtos intermediários"
3802,"Carvões activados; matérias minerais naturais activadas; negros de origem animal, incluído o negro animal esgotado"
3803,"Tall oil, mesmo refinado"
3804,"Lixívias residuais da fabricação de pasta de celulose, incluídos os lignossulfonatos"
3805,"Essências de terebintina, de pinheiro ou provenientes da fabricação da pasta de papel ao sulfato e outras essências terpénicas provenientes da destilação ou de outros tratamentos das madeiras de coníferas; dipenteno em bruto; essência proveniente da fabri"
3806,"Colofónias e ácidos resínicos, e seus derivados; essência de colofónia e óleos de colofónia; gomas fundidas"
3807,"Alcatrões de madeira; óleos de alcatrão de madeira; creosoto de madeira; metileno; breu (pez) vegetal; breu (pez) para a indústria da cerveja e preparações semelhantes à base de colofônias, de ácidos resínicos ou de breu (pez) vegetal"
3808,"Insecticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfectantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a for"
3809,"Agentes de apresto ou de acabamento, aceleradores de tingimento ou de fixação de matérias corantes e outros produtos e preparações (por exemplo: aprestos preparados e preparações mordentes) dos tipos utilizados na indústria têxtil, na indústria do papel, "
3810,"Preparações para decapagem de metais; fluxos para soldar e outras preparações auxiliares para soldar metais; pastas e pós para soldar, compostos de metal e outras matérias; preparações dos tipos utilizados para enchimento ou revestimento de eléctrodos ou "
3811,"Preparações antidetonantes, inibidores de oxidação, aditivos peptizantes, beneficiadores de viscosidade, aditivos anticorrosivos e outros aditivos preparados, para óleos minerais (incluída a gasolina) ou para outros líquidos utilizados para os mesmos fins"
3812,"Preparações denominadas « aceleradores de vulcanização »; plastificantes compostos para borracha ou plástico, não especificados nem compreendidos em outras posições; preparações antioxidantes e outros estabilizadores compostos, para borracha ou plástico"
3813,Composições e cargas para aparelhos extintores; granadas e bombas extintoras
3814,Solventes e diluentes orgânicos compostos; preparações para remover tintas ou vernizes
3815,"Iniciadores de reacção, aceleradores de reacção e preparações catalíticas, não especificados nem compreendidos em outras posições"
3816,"Cimentos, argamassas, concretos e composições semelhantes, refratários"
3817,Misturas de alquilbenzenos ou de alquilnaftalenos
3818,"Elementos químicos impurificados, para utilização eletrônica"
3819,"Fluidos para freios hidráulicos e outros líquidos preparados para transmissões hidráulicas, que não contenham óleos de petróleo nem de minerais betuminosos, ou que os contenham em proporção inferior a 70 %, em peso"
3820,Preparações anticongelantes e líquidos preparados para descongelamento
3821,"Meios de cultura preparados para o desenvolvimento e a manutenção de microrganismos (incluindo os vírus e os organismos similares) ou de células vegetais, humanas ou animais"
3822,"Reagentes de diagnóstico ou de laboratório, em qualquer suporte ou preparados, exceto os das posições 3002 ou 3006; materiais de referência certificados"
3823,Ácidos gordos monocarboxílicos industriais; óleos ácidos de refinação; alcoóis gordos industriais
3824,"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p"
3825,"Produtos residuais das indústrias químicas ou das indústrias conexas, não especificados nem compreendidos em outras posições; resíduos municipais; lamas de depuração; outros resíduos mencionados na Nota 6 do presente capítulo"
3826,"Biodiesel e suas misturas, que não contenham ou que contenham menos de 70 %, em peso, de óleos de petróleo ou de óleos minerais betuminosos"
3827,"Misturas que contenham derivados halogenados do metano, do etano ou do propano, não especificadas nem compreendidas noutras posições"
3901,"Polímeros de etileno, em formas primárias"
3902,"Polímeros de propileno ou de outras olefinas, em formas primárias"
3903,"Polímeros de estireno, em formas primárias"
3904,"Polímeros de cloreto de vinilo ou de outras olefinas halogenadas, em formas primárias"
3905,"Polímeros de acetato de vinilo ou de outros ésteres de vinilo, em formas primárias; outros polímeros de vinilo, em formas primárias"
3906,"Polímeros acrílicos, em formas primárias"
3907,"Poliacetais, outros poliéteres e resinas epóxidas, em formas primárias; policarbonatos, resinas alquídicas, poliésteres alílicos e outros poliésteres, em formas primárias"
3908,Poliamidas em formas primárias
3909,"Resinas amínicas, resinas fenólicas e poliuretanos, em formas primárias"
3910,"Silicones, em formas primárias"
3911,"Resinas de petróleo, resinas de cumarona-indeno, politerpenos, polissulfuretos, polissulfonas e outros produtos mencionados na Nota 3 do presente capítulo, não especificados nem compreendidos em outras posições, em formas primárias"
3912,"Celulose e seus derivados químicos, não especificados nem compreendidos em outras posições, em formas primárias"
3913,"Polímeros naturais (por exemplo: ácido algínico) e polímeros naturais modificados (por exemplo: proteínas endurecidas, derivados químicos da borracha natural), não especificados nem compreendidos em outras posições, em formas primárias"
3914,"Permutadores de íons à base de polímeros, em formas primárias"
3915,"Desperdícios, resíduos e aparas, de plástico"
3916,"Monofilamentos cuja maior dimensão do corte transversal seja superior a 1 mm (monofios), varas, bastões e perfis, mesmo trabalhados à superfície mas sem qualquer outro trabalho, de plásticos"
3917,"Tubos e seus acessórios (por exemplo: juntas, cotovelos, flanges, uniões), de plástico"
3918,"Revestimentos de pavimentos, de plástico, mesmo auto-adesivos, em rolos ou em forma de ladrilhos ou de mosaicos; revestimentos de paredes ou de tectos, de plásticos, definidos na Nota 9 do presente capítulo"
3919,"Chapas, folhas, tiras, fitas, películas e outras formas planas, auto-adesivas, de plástico, mesmo em rolos"
3920,"Outras chapas, folhas, películas, tiras e lâminas, de plástico não alveolar, não reforçadas nem estratificadas, sem suporte, nem associadas a outras matérias"
3921,"Outras chapas, folhas, películas, tiras e lâminas, de plástico"
3922,"Banheiras, « chuveiros », pias, lavatórios, bidés, sanitários e seus assentos e tampas, caixas de descarga (autoclismos) e artigos semelhantes para usos sanitários ou higiénicos, de plástico"
3923,"Artigos de transporte ou de embalagem, de plástico; rolhas, tampas, cápsulas e outros dispositivos destinados a fechar recipientes, de plástico"
3924,"Serviços de mesa e outros artigos de uso doméstico, de higiene ou de toucador, de plástico"
3925,"Artefactos para apetrechamento de construções, de plástico, não especificados nem compreendidos em outras posições"
3926,Outras obras de plástico e obras de outras matérias das posições 3901 a 3914
4001,"Borracha natural, balata, guta-percha, guaiúle, chicle e gomas naturais análogas, em formas primárias ou em chapas, folhas ou tiras"
4002,"Borracha sintética e borracha artificial derivada dos óleos, em formas primárias ou em chapas, folhas ou tiras; misturas dos produtos da posição 4001 com produtos da presente posição, em formas primárias ou em chapas, folhas ou tiras"
4003,"Borracha regenerada, em formas primárias ou em chapas, folhas ou tiras"
4004,"Desperdícios, resíduos e aparas, de borracha não endurecida, mesmo reduzidos a pó ou a grânulos"
4005,"Borracha misturada, não vulcanizada, em formas primárias ou em chapas, folhas ou tiras"
4006,"Outras formas (por exemplo: varetas, tubos, perfis) e artigos (por exemplo: discos e anilhas (arruelas)) de borracha não vulcanizada"
4007,"Fios e cordas, de borracha vulcanizada"
4008,"Chapas, folhas, tiras, varetas e perfis, de borracha vulcanizada não endurecida"
4009,"Tubos de borracha vulcanizada não endurecida, mesmo providos dos respectivos acessórios (por exemplo: juntas, cotovelos, flanges, uniões)"
4010,"Correias transportadoras ou de transmissão, de borracha vulcanizada"
4011,"Pneumáticos novos, de borracha"
4012,"Pneumáticos recauchutados ou usados, de borracha; protectores, bandas de rodagem para pneumáticos e flaps, de borracha"
4013,Câmaras-de-ar de borracha
4014,"Artigos de higiene ou de farmácia (incluídas as chupetas), de borracha vulcanizada não endurecida, mesmo com partes de borracha endurecida"
4015,"Vestuário e seus acessórios (incluídas as luvas, mitenes e semelhantes), de borracha vulcanizada não endurecida, para quaisquer usos"
4016,Outras obras de borracha vulcanizada não endurecida
4017,"Borracha endurecida (ebonite, por exemplo) sob qualquer forma, incluindo os desperdícios e resíduos; obras de borracha endurecida"
4101,"Couros e peles em bruto de bovinos (incluindo os búfalos) ou de equídeos (frescos, ou salgados, secos, tratados pela cal, « piclados » ou conservados de outro modo, mas não curtidos, nem apergaminhados nem preparados de outro modo), mesmo depilados ou div"
4102,"Peles em bruto de ovinos (frescas, ou salgadas, secas, tratadas pela cal, « picladas » ou conservadas de outro modo, mas não curtidas, nem apergaminhadas, nem preparadas de outro modo), mesmo depiladas ou divididas, com excepção das excluídas pela Nota 1 "
4103,"Outros couros e peles em bruto (frescos, ou salgados, secos, tratados pela cal, « piclados » ou conservados de outro modo, mas não curtidos, nem apergaminhados nem preparados de outro modo), mesmo depilados ou divididos, com excepção das excluídos pela No"
4104,"Couros e peles curtidos ou em crosta, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, mas não preparados de outro modo"
4105,"Peles curtidas ou em crosta de ovinos, depiladas, mesmo divididas, mas não preparadas de outro modo"
4106,"Couros e peles, depilados, de outros animais e peles de animais desprovidos de pêlos, curtidos ou em crosta, mesmo divididos, mas não preparados de outro modo"
4107,"Couros preparados após curtimenta ou após secagem e couros e peles apergaminhados, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, exceto os da posição 4114"
4108,"Couros e peles, acamurçados, inclusive a camurça combinada"
4109,"Couros e peles, envernizados, revestidos ou metalizados"
4110,"Aparas e outros desperd.de couros/peles, preparados, etc."
4111,"Couro reconstituido em chapas, folhas ou tiras"
4112,"Couros preparados após curtimenta ou após secagem e couros e peles apergaminhados, de ovinos, depilados, mesmo divididos, exceto os da posição 41.14"
4113,"Couros preparados após curtimenta ou após secagem e couros e peles apergaminhados, de outros animais, depilados, e couros preparados após curtimenta e couros e peles apergaminhados, de animais desprovidos de pêlos, mesmo divididos, exceto os da posição 4"
4114,Couros e peles acamurçados (incluída a camurça combinada); couros e peles envernizados ou revestidos; couros e peles metalizados
4115,"Couro reconstituído à base de couro ou de fibras de couro, em chapas, folhas ou tiras, mesmo enroladas; aparas e outros desperdícios de couros ou de peles preparados ou de couro reconstituído, não utilizáveis para fabricação de obras de couro; serragem, p"
4201,"Artigos de seleiro ou de correeiro para animais, de quaisquer matérias"
4202,"Malas e maletas, incluídas as de toucador e as maletas e pastas para documentos e de estudantes, os estojos para óculos, binóculos, máquinas fotográficas e de filmar, instrumentos musicais, armas, e artefactos semelhantes; sacos de viagem, sacos isolantes"
4203,"Vestuário e seus acessórios, de couro natural ou reconstituído"
4204,Artigos de couro usados em máquinas/aplicações mecânicas
4205,Outras obras de couro natural ou reconstituido
4206,"Obras de tripa, de baudruches, de bexiga ou de tendões"
4301,"Peles com pêlo em bruto (incluídas as cabeças, caudas, patas e outras partes, utilizáveis na indústria de peles), exceto as peles em bruto das posições 4101, 4102 ou 4103"
4302,"Peles com pêlo curtidas ou acabadas (incluídas as cabeças, caudas, patas e outras partes, desperdícios e aparas), não reunidas (não montadas) ou reunidas (montadas) sem adição de outras matérias, com excepção das da posição 4303"
4303,"Vestuário, seus acessórios e outros artefactos de peles com pêlo"
4304,"Peles com pelo artificiais, e suas obras"
4401,"Lenha em qualquer estado, madeira em estilhas ou em partículas; serradura, desperdícios e resíduos de madeira, mesmo aglomerados em bolas, briquetes, pellets ou em formas semelhantes"
4402,"Carvão vegetal (incluindo o carvão de cascas ou de caroços), mesmo aglomerado"
4403,"Madeira em bruto, mesmo descascada, desalburnada ou esquadriada"
4404,"Arcos de madeira; estacas fendidas; estacas aguçadas, não serradas longitudinalmente; madeira simplesmente desbastada ou arredondada, não torneada, não recurvada nem trabalhada de qualquer outro modo, para fabricação de bengalas, guarda-chuvas, cabos de f"
4405,Lã de madeira; farinha de madeira
4406,Dormentes de madeira para vias férreas ou semelhantes
4407,"Madeira serrada ou endireitada longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm"
4408,"Folhas para folheados (incluindo as obtidas por corte de madeira estratificada), folhas para contraplacados ou compensados ou para outras madeiras estratificadas semelhantes e madeira serrada longitudinalmente, cortada ou desenrolada, mesmo aplainada, pol"
4409,"Madeira (incluídos os tacos e frisos para soalhos, não montados) perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de uma ou mais bordas, faces ou extremidades, mesmo aplainada"
4410,"Painéis de partículas e painéis semelhantes (por exemplo, painéis denominados «  oriented strand board » e painéis denominados «  waferboard »), de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou com outros aglutinantes orgânicos"
4411,"Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou com outros aglutinantes orgânicos"
4412,"Madeira contraplacada ou compensada, madeira folheada, e madeiras estratificadas semelhantes"
4413,"Madeira densificada, em blocos, pranchas, lâminas ou perfis"
4414,"Molduras de madeira para quadros, fotografias, espelhos ou objetos semelhantes"
4415,"Caixotes, caixas, engradados, barricas e embalagens semelhantes, de madeira; carretéis para cabos, de madeira; paletes simples, « paletes-caixas » e outros estrados para carga, de madeira; taipais de paletes de madeira"
4416,"Barris, cubas, balsas, dornas e outras obras de tanueiro, de madeira"
4417,"Ferramentas, armações e cabos de ferramentas, de escovas e de vassouras, de madeira; formas, alargadeiras e esticadores, de madeira, para calçados"
